index,name,lr,wd,dim,emb,batch
55,c055_lr0p0001_wd1em05_dim64_emb64_batch512_seed0,0.0001,1e-05,64,64,512
56,c056_lr0p0001_wd1em05_dim64_emb64_batch1024_seed0,0.0001,1e-05,64,64,1024
57,c057_lr0p0001_wd1em05_dim64_emb64_batch2048_seed0,0.0001,1e-05,64,64,2048
58,c058_lr0p0001_wd1em05_dim64_emb128_batch512_seed0,0.0001,1e-05,64,128,512
59,c059_lr0p0001_wd1em05_dim64_emb128_batch1024_seed0,0.0001,1e-05,64,128,1024
60,c060_lr0p0001_wd1em05_dim64_emb128_batch2048_seed0,0.0001,1e-05,64,128,2048
61,c061_lr0p0001_wd1em05_dim64_emb256_batch512_seed0,0.0001,1e-05,64,256,512
62,c062_lr0p0001_wd1em05_dim64_emb256_batch1024_seed0,0.0001,1e-05,64,256,1024
63,c063_lr0p0001_wd1em05_dim64_emb256_batch2048_seed0,0.0001,1e-05,64,256,2048
64,c064_lr0p0001_wd1em05_dim128_emb64_batch512_seed0,0.0001,1e-05,128,64,512
65,c065_lr0p0001_wd1em05_dim128_emb64_batch1024_seed0,0.0001,1e-05,128,64,1024
66,c066_lr0p0001_wd1em05_dim128_emb64_batch2048_seed0,0.0001,1e-05,128,64,2048
67,c067_lr0p0001_wd1em05_dim128_emb128_batch512_seed0,0.0001,1e-05,128,128,512
68,c068_lr0p0001_wd1em05_dim128_emb128_batch2048_seed0,0.0001,1e-05,128,128,2048
69,c069_lr0p0001_wd1em05_dim128_emb256_batch512_seed0,0.0001,1e-05,128,256,512
70,c070_lr0p0001_wd1em05_dim128_emb256_batch1024_seed0,0.0001,1e-05,128,256,1024
71,c071_lr0p0001_wd1em05_dim128_emb256_batch2048_seed0,0.0001,1e-05,128,256,2048
72,c072_lr0p0001_wd1em05_dim256_emb64_batch512_seed0,0.0001,1e-05,256,64,512
73,c073_lr0p0001_wd1em05_dim256_emb64_batch1024_seed0,0.0001,1e-05,256,64,1024
74,c074_lr0p0001_wd1em05_dim256_emb64_batch2048_seed0,0.0001,1e-05,256,64,2048
75,c075_lr0p0001_wd1em05_dim256_emb128_batch512_seed0,0.0001,1e-05,256,128,512
76,c076_lr0p0001_wd1em05_dim256_emb128_batch1024_seed0,0.0001,1e-05,256,128,1024
77,c077_lr0p0001_wd1em05_dim256_emb128_batch2048_seed0,0.0001,1e-05,256,128,2048
78,c078_lr0p0001_wd1em05_dim256_emb256_batch512_seed0,0.0001,1e-05,256,256,512
