index,name,win,lr,wd,dim,mask
51,c051_win1m_lr0p001_wd0p001_dim128_mask0p3_seed0,1m,0.001,0.001,128,0.3
52,c052_win1m_lr0p001_wd0p001_dim128_mask0p5_seed0,1m,0.001,0.001,128,0.5
53,c053_win1m_lr0p001_wd0p001_dim128_mask0p7_seed0,1m,0.001,0.001,128,0.7
54,c054_win1m_lr0p003_wd0p0001_dim32_mask0p3_seed0,1m,0.003,0.0001,32,0.3
55,c055_win1m_lr0p003_wd0p0001_dim32_mask0p5_seed0,1m,0.003,0.0001,32,0.5
56,c056_win1m_lr0p003_wd0p0001_dim32_mask0p7_seed0,1m,0.003,0.0001,32,0.7
57,c057_win1m_lr0p003_wd0p0001_dim64_mask0p3_seed0,1m,0.003,0.0001,64,0.3
58,c058_win1m_lr0p003_wd0p0001_dim64_mask0p5_seed0,1m,0.003,0.0001,64,0.5
59,c059_win1m_lr0p003_wd0p0001_dim64_mask0p7_seed0,1m,0.003,0.0001,64,0.7
60,c060_win1m_lr0p003_wd0p0001_dim128_mask0p3_seed0,1m,0.003,0.0001,128,0.3
61,c061_win1m_lr0p003_wd0p0001_dim128_mask0p5_seed0,1m,0.003,0.0001,128,0.5
62,c062_win1m_lr0p003_wd0p0001_dim128_mask0p7_seed0,1m,0.003,0.0001,128,0.7
63,c063_win1m_lr0p003_wd0p0005_dim32_mask0p3_seed0,1m,0.003,0.0005,32,0.3
64,c064_win1m_lr0p003_wd0p0005_dim32_mask0p5_seed0,1m,0.003,0.0005,32,0.5
65,c065_win1m_lr0p003_wd0p0005_dim32_mask0p7_seed0,1m,0.003,0.0005,32,0.7
66,c066_win1m_lr0p003_wd0p0005_dim64_mask0p3_seed0,1m,0.003,0.0005,64,0.3
67,c067_win1m_lr0p003_wd0p0005_dim64_mask0p5_seed0,1m,0.003,0.0005,64,0.5
68,c068_win1m_lr0p003_wd0p0005_dim64_mask0p7_seed0,1m,0.003,0.0005,64,0.7
69,c069_win1m_lr0p003_wd0p0005_dim128_mask0p3_seed0,1m,0.003,0.0005,128,0.3
70,c070_win1m_lr0p003_wd0p0005_dim128_mask0p5_seed0,1m,0.003,0.0005,128,0.5
71,c071_win1m_lr0p003_wd0p0005_dim128_mask0p7_seed0,1m,0.003,0.0005,128,0.7
72,c072_win1m_lr0p003_wd0p001_dim32_mask0p3_seed0,1m,0.003,0.001,32,0.3
73,c073_win1m_lr0p003_wd0p001_dim32_mask0p5_seed0,1m,0.003,0.001,32,0.5
74,c074_win1m_lr0p003_wd0p001_dim32_mask0p7_seed0,1m,0.003,0.001,32,0.7
75,c075_win1m_lr0p003_wd0p001_dim64_mask0p3_seed0,1m,0.003,0.001,64,0.3
