index,name,lr,wd,cap,batch,neigh
54,c054_lr1em05_wd1em06_caplarge_batch2048_neigh50_seed0,1e-05,1e-06,large,2048,50
55,c055_lr1em05_wd1em05_capdefault_batch512_neigh10_seed0,1e-05,1e-05,default,512,10
56,c056_lr1em05_wd1em05_capdefault_batch512_neigh20_seed0,1e-05,1e-05,default,512,20
57,c057_lr1em05_wd1em05_capdefault_batch512_neigh50_seed0,1e-05,1e-05,default,512,50
58,c058_lr1em05_wd1em05_capdefault_batch1024_neigh10_seed0,1e-05,1e-05,default,1024,10
59,c059_lr1em05_wd1em05_capdefault_batch1024_neigh50_seed0,1e-05,1e-05,default,1024,50
60,c060_lr1em05_wd1em05_capdefault_batch2048_neigh10_seed0,1e-05,1e-05,default,2048,10
61,c061_lr1em05_wd1em05_capdefault_batch2048_neigh20_seed0,1e-05,1e-05,default,2048,20
62,c062_lr1em05_wd1em05_capdefault_batch2048_neigh50_seed0,1e-05,1e-05,default,2048,50
63,c063_lr1em05_wd1em05_capmedium_batch512_neigh10_seed0,1e-05,1e-05,medium,512,10
64,c064_lr1em05_wd1em05_capmedium_batch512_neigh20_seed0,1e-05,1e-05,medium,512,20
65,c065_lr1em05_wd1em05_capmedium_batch512_neigh50_seed0,1e-05,1e-05,medium,512,50
66,c066_lr1em05_wd1em05_capmedium_batch1024_neigh10_seed0,1e-05,1e-05,medium,1024,10
67,c067_lr1em05_wd1em05_capmedium_batch1024_neigh20_seed0,1e-05,1e-05,medium,1024,20
68,c068_lr1em05_wd1em05_capmedium_batch1024_neigh50_seed0,1e-05,1e-05,medium,1024,50
69,c069_lr1em05_wd1em05_capmedium_batch2048_neigh10_seed0,1e-05,1e-05,medium,2048,10
70,c070_lr1em05_wd1em05_capmedium_batch2048_neigh20_seed0,1e-05,1e-05,medium,2048,20
71,c071_lr1em05_wd1em05_capmedium_batch2048_neigh50_seed0,1e-05,1e-05,medium,2048,50
72,c072_lr1em05_wd1em05_caplarge_batch512_neigh10_seed0,1e-05,1e-05,large,512,10
73,c073_lr1em05_wd1em05_caplarge_batch512_neigh20_seed0,1e-05,1e-05,large,512,20
74,c074_lr1em05_wd1em05_caplarge_batch512_neigh50_seed0,1e-05,1e-05,large,512,50
75,c075_lr1em05_wd1em05_caplarge_batch1024_neigh10_seed0,1e-05,1e-05,large,1024,10
