index,name,lr,wd,cap,batch,neigh
45,c045_lr2em05_wd0p01_capdefault_batch2048_neigh50_seed0,2e-05,0.01,default,2048,50
46,c046_lr2em05_wd0p01_caplarge_batch512_neigh10_seed0,2e-05,0.01,large,512,10
47,c047_lr2em05_wd0p01_caplarge_batch512_neigh20_seed0,2e-05,0.01,large,512,20
48,c048_lr2em05_wd0p01_caplarge_batch512_neigh50_seed0,2e-05,0.01,large,512,50
49,c049_lr2em05_wd0p01_caplarge_batch1024_neigh10_seed0,2e-05,0.01,large,1024,10
50,c050_lr2em05_wd0p01_caplarge_batch1024_neigh20_seed0,2e-05,0.01,large,1024,20
51,c051_lr2em05_wd0p01_caplarge_batch1024_neigh50_seed0,2e-05,0.01,large,1024,50
52,c052_lr2em05_wd0p01_caplarge_batch2048_neigh10_seed0,2e-05,0.01,large,2048,10
53,c053_lr2em05_wd0p01_caplarge_batch2048_neigh20_seed0,2e-05,0.01,large,2048,20
54,c054_lr2em05_wd0p01_caplarge_batch2048_neigh50_seed0,2e-05,0.01,large,2048,50
55,c055_lr2em05_wd0p1_capsmall_batch512_neigh10_seed0,2e-05,0.1,small,512,10
56,c056_lr2em05_wd0p1_capsmall_batch512_neigh20_seed0,2e-05,0.1,small,512,20
57,c057_lr2em05_wd0p1_capsmall_batch512_neigh50_seed0,2e-05,0.1,small,512,50
58,c058_lr2em05_wd0p1_capsmall_batch1024_neigh10_seed0,2e-05,0.1,small,1024,10
59,c059_lr2em05_wd0p1_capsmall_batch1024_neigh20_seed0,2e-05,0.1,small,1024,20
60,c060_lr2em05_wd0p1_capsmall_batch1024_neigh50_seed0,2e-05,0.1,small,1024,50
61,c061_lr2em05_wd0p1_capsmall_batch2048_neigh10_seed0,2e-05,0.1,small,2048,10
62,c062_lr2em05_wd0p1_capsmall_batch2048_neigh20_seed0,2e-05,0.1,small,2048,20
63,c063_lr2em05_wd0p1_capsmall_batch2048_neigh50_seed0,2e-05,0.1,small,2048,50
64,c064_lr2em05_wd0p1_capdefault_batch512_neigh10_seed0,2e-05,0.1,default,512,10
65,c065_lr2em05_wd0p1_capdefault_batch512_neigh20_seed0,2e-05,0.1,default,512,20
66,c066_lr2em05_wd0p1_capdefault_batch512_neigh50_seed0,2e-05,0.1,default,512,50
67,c067_lr2em05_wd0p1_capdefault_batch1024_neigh10_seed0,2e-05,0.1,default,1024,10
68,c068_lr2em05_wd0p1_capdefault_batch1024_neigh20_seed0,2e-05,0.1,default,1024,20
69,c069_lr2em05_wd0p1_capdefault_batch1024_neigh50_seed0,2e-05,0.1,default,1024,50
70,c070_lr2em05_wd0p1_capdefault_batch2048_neigh10_seed0,2e-05,0.1,default,2048,10
71,c071_lr2em05_wd0p1_capdefault_batch2048_neigh20_seed0,2e-05,0.1,default,2048,20
72,c072_lr2em05_wd0p1_capdefault_batch2048_neigh50_seed0,2e-05,0.1,default,2048,50
73,c073_lr2em05_wd0p1_caplarge_batch512_neigh10_seed0,2e-05,0.1,large,512,10
74,c074_lr2em05_wd0p1_caplarge_batch512_neigh20_seed0,2e-05,0.1,large,512,20
75,c075_lr2em05_wd0p1_caplarge_batch512_neigh50_seed0,2e-05,0.1,large,512,50
76,c076_lr2em05_wd0p1_caplarge_batch1024_neigh10_seed0,2e-05,0.1,large,1024,10
77,c077_lr2em05_wd0p1_caplarge_batch1024_neigh20_seed0,2e-05,0.1,large,1024,20
78,c078_lr2em05_wd0p1_caplarge_batch1024_neigh50_seed0,2e-05,0.1,large,1024,50
79,c079_lr2em05_wd0p1_caplarge_batch2048_neigh10_seed0,2e-05,0.1,large,2048,10
80,c080_lr2em05_wd0p1_caplarge_batch2048_neigh20_seed0,2e-05,0.1,large,2048,20
81,c081_lr2em05_wd0p1_caplarge_batch2048_neigh50_seed0,2e-05,0.1,large,2048,50
82,c082_lr5em05_wd0p001_capsmall_batch512_neigh10_seed0,5e-05,0.001,small,512,10
83,c083_lr5em05_wd0p001_capsmall_batch512_neigh20_seed0,5e-05,0.001,small,512,20
84,c084_lr5em05_wd0p001_capsmall_batch512_neigh50_seed0,5e-05,0.001,small,512,50
85,c085_lr5em05_wd0p001_capsmall_batch1024_neigh10_seed0,5e-05,0.001,small,1024,10
86,c086_lr5em05_wd0p001_capsmall_batch1024_neigh20_seed0,5e-05,0.001,small,1024,20
87,c087_lr5em05_wd0p001_capsmall_batch1024_neigh50_seed0,5e-05,0.001,small,1024,50
88,c088_lr5em05_wd0p001_capsmall_batch2048_neigh10_seed0,5e-05,0.001,small,2048,10
89,c089_lr5em05_wd0p001_capsmall_batch2048_neigh20_seed0,5e-05,0.001,small,2048,20
90,c090_lr5em05_wd0p001_capsmall_batch2048_neigh50_seed0,5e-05,0.001,small,2048,50
91,c091_lr5em05_wd0p001_capdefault_batch512_neigh10_seed0,5e-05,0.001,default,512,10
92,c092_lr5em05_wd0p001_capdefault_batch512_neigh20_seed0,5e-05,0.001,default,512,20
93,c093_lr5em05_wd0p001_capdefault_batch512_neigh50_seed0,5e-05,0.001,default,512,50
94,c094_lr5em05_wd0p001_capdefault_batch1024_neigh10_seed0,5e-05,0.001,default,1024,10
95,c095_lr5em05_wd0p001_capdefault_batch1024_neigh20_seed0,5e-05,0.001,default,1024,20
96,c096_lr5em05_wd0p001_capdefault_batch1024_neigh50_seed0,5e-05,0.001,default,1024,50
97,c097_lr5em05_wd0p001_capdefault_batch2048_neigh10_seed0,5e-05,0.001,default,2048,10
98,c098_lr5em05_wd0p001_capdefault_batch2048_neigh20_seed0,5e-05,0.001,default,2048,20
99,c099_lr5em05_wd0p001_capdefault_batch2048_neigh50_seed0,5e-05,0.001,default,2048,50
100,c100_lr5em05_wd0p001_caplarge_batch512_neigh10_seed0,5e-05,0.001,large,512,10
101,c101_lr5em05_wd0p001_caplarge_batch512_neigh20_seed0,5e-05,0.001,large,512,20
102,c102_lr5em05_wd0p001_caplarge_batch512_neigh50_seed0,5e-05,0.001,large,512,50
103,c103_lr5em05_wd0p001_caplarge_batch1024_neigh10_seed0,5e-05,0.001,large,1024,10
104,c104_lr5em05_wd0p001_caplarge_batch1024_neigh20_seed0,5e-05,0.001,large,1024,20
105,c105_lr5em05_wd0p001_caplarge_batch1024_neigh50_seed0,5e-05,0.001,large,1024,50
106,c106_lr5em05_wd0p001_caplarge_batch2048_neigh10_seed0,5e-05,0.001,large,2048,10
107,c107_lr5em05_wd0p001_caplarge_batch2048_neigh20_seed0,5e-05,0.001,large,2048,20
108,c108_lr5em05_wd0p001_caplarge_batch2048_neigh50_seed0,5e-05,0.001,large,2048,50
109,c109_lr5em05_wd0p01_capsmall_batch512_neigh10_seed0,5e-05,0.01,small,512,10
110,c110_lr5em05_wd0p01_capsmall_batch512_neigh20_seed0,5e-05,0.01,small,512,20
111,c111_lr5em05_wd0p01_capsmall_batch512_neigh50_seed0,5e-05,0.01,small,512,50
